name,url,Trim,Mileage,Engine,NCT_Expiry,Year,Transmission,Total_Owners,Make,Fuel_Type,Body_Type,Doors,Trim_Level,Seats,Colour,Road_Tax,Current_Country_Of_Reg,Imported,County,Independant_Dealer,Dublin2,Model,Price,Engine_Size,External_Length,Fuel_Tank_Capacity,External_Width,Rural_Fuel_Consumption,Comb_Fuel_Consumption,Urban_Fuel_Consumption,External_Height,Boot_Volume,Ground_Clearance,Euro_NCAP_Overall_Safety_Rating,Engine_Power,Top_Speed,Acceleration,Child_Protection_Rating,Safety_Assistance_Rating,Adult_Protection_Rating,Pedestrian_Protection_Rating,Battery_Capacity
2018 Nissan X-Trail 4WD 2.0 Auto * PRICE REDUCED *,https://www.donedeal.ie/cars-for-sale/2018-nissan-x-trail-4wd-2-0-auto-price-reduced/39148515,SV,"70,000 km",2.0 L Petrol,Jul 2026,2018,Manual,1,Nissan,Petrol,SUV,5,Medium Trim,7,Red,400,Ireland,Unknown country,,"Private Seller
No rating yet","Dundalk, Co. Louth",X-Trail,"€22,990",2.0 L,4.64 m,,1.82 m,5.2 L/100 km,5.6 L/100 km,6.3 L/100 km,1.71 m,,21 cm,5/5,,,,83%,75%,86%,75%,
Ford Focus Style,https://www.donedeal.ie/cars-for-sale/ford-focus-style/39362369,N,"278,777 km",1.4 L Petrol,May 2025,2008,Manual,6,Ford,,,,,,,,Ireland,No,,"Private Seller
No rating yet","Glenageary, Co. Dublin",Focus,"€1,500",,,,,,,,,,,,,,,,,,,
BMW x5,https://www.donedeal.ie/cars-for-sale/bmw-x5/39148479,SE,"156,078 mi",3.0 L Diesel,Sep 2026,2016,Automatic,2,BMW,Diesel,SUV,5,Base Trim,7,White,600,Ireland,UK,,"Private Seller
No rating yet","Carrickaboy, Co. Cavan",X5,"€28,000",3.0 L,4.89 m,,1.94 m,5.5 L/100 km,5.9 L/100 km,6.7 L/100 km,1.76 m,,21 cm,,,,,,,,,
Volkswagen Polo 75 Edition 1.0tsi 95hp Manual,https://www.donedeal.ie/cars-for-sale/volkswagen-polo-75-edition-1-0tsi-95hp-manual/39362145,---,30 km,1.0 L Petrol,---,2025,Manual,1,Volkswagen,Petrol,Hatchback,5,---,---,Silver,,Ireland,No,Co. Dublin,"Franchise Dealer
4.4/5",Co. Dublin,Polo,"€26,495",,,,,,,,,,,,,,,,,,,
Honda Jazz 1.5 E hev Crosstar Advance 4.9 pcp,https://www.donedeal.ie/cars-for-sale/honda-jazz-1-5-e-hev-crosstar-advance-4-9-pcp/37799758,---,0 km,1.5 L Petrol Hybrid,---,2025,Automatic,---,Honda,Petrol Hybrid,Hatchback,5,---,---,Black,,,,Co. Waterford,Franchise Dealer,Co. Waterford,Jazz,"€37,000",,,,,,,,,,,,,,,,,,,
2008 BMW 520d E60,https://www.donedeal.ie/cars-for-sale/2008-bmw-520d-e60/39334208,N,"208,307 mi",2.0 L Diesel,Dec 2025,2008,---,2,BMW,,,,,,,280,Ireland,UK,,"Private Seller
No rating yet","Athenry, Co. Galway",5-Series,"€3,000",,,,,,,,,,,,,,,,,,,
2017 Low mileage Renault Fluence 1.5 diesel,https://www.donedeal.ie/cars-for-sale/2017-low-mileage-renault-fluence-1-5-diesel/39148442,LIMITED,"136,000 km",1.5 L Diesel,Feb 2025,2017,Manual,2,Renault,Diesel,Saloon,4,Medium Trim,5,Grey,190,Ireland,No,,"Verified Private Seller
No rating yet","Drogheda, Co. Louth",Fluence,"€6,000",1.5 L,4.62 m,60 L,1.81 m,4.0 L/100 km,4.5 L/100 km,5.4 L/100 km,1.48 m,,,4/5,,,,83%,84%,72%,37%,
Volkswagen Polo 75 Edition 1.0tsi 95hp Manual,https://www.donedeal.ie/cars-for-sale/volkswagen-polo-75-edition-1-0tsi-95hp-manual/39362134,---,30 km,1.0 L Petrol,---,2025,Manual,1,Volkswagen,Petrol,Hatchback,5,---,---,Silver,,Ireland,No,Co. Dublin,"Franchise Dealer
4.4/5",Co. Dublin,Polo,"€26,495",,,,,,,,,,,,,,,,,,,
Volkswagen Polo R-line 1.0tsi,https://www.donedeal.ie/cars-for-sale/volkswagen-polo-r-line-1-0tsi/31861523,R-Line,1 km,1.0 L Petrol,---,2025,Manual,1,Volkswagen,Petrol,Hatchback,5,Sports Trim,5,Blue,,,,Co. Mayo,Franchise Dealer,Co. Mayo,Polo,No Price,,,,,,,,,,,5/5,,,,85%,59%,96%,76%,
E200 ESTATE,https://www.donedeal.ie/cars-for-sale/e200-estate/39148418,N,"343,881 km",2.1 L Diesel,Mar 2025,2010,---,4,Mercedes-Benz,,,,,,,600,Ireland,UK,,"Verified Private Seller
No rating yet","Trim, Co. Meath",E-Class,"€4,250",,,,,,,,,,,,,,,,,,,
