name,url,Trim,Mileage,Engine,NCT_Expiry,Year,Transmission,Total_Owners,Make,Fuel_Type,Body_Type,Doors,Trim_Level,Seats,Colour,Road_Tax,Current_Country_Of_Reg,Imported,County,Independant_Dealer,Dublin2,Model,Price,Engine_Size,External_Length,Fuel_Tank_Capacity,External_Width,Rural_Fuel_Consumption,Comb_Fuel_Consumption,Urban_Fuel_Consumption,External_Height,Boot_Volume,Ground_Clearance,Euro_NCAP_Overall_Safety_Rating,Engine_Power,Top_Speed,Acceleration,Child_Protection_Rating,Safety_Assistance_Rating,Adult_Protection_Rating,Pedestrian_Protection_Rating,Battery_Capacity
BMW 3 Series 330E M Sport Black Leather,https://www.donedeal.ie/cars-for-sale/bmw-3-series-330e-m-sport-black-leather/39298227,---,"40,600 km",2.0 L Petrol Plug-in Hybrid,---,2022,Automatic,1,BMW,Petrol Plug-in Hybrid,Saloon,4,---,5,Black,140,UK,,Co. Dublin,"Independent Dealer
4.9/5","Dublin 14, Co. Dublin",3-Series,"€35,995",,,,,,,,,,,,,,,,,,,
Mk6 golf,https://www.donedeal.ie/cars-for-sale/mk6-golf/39123547,BLUEMOTION,"278,000 km",1.6 L Diesel,Jan 2026,2011,Manual,4,Volkswagen,Diesel,Hatchback,5,Base Trim,5,Red,190,Ireland,UK,,"Private Seller
No rating yet","Clonakilty, Co. Cork",Golf,"€5,000",1.6 L,4.20 m,,1.78 m,3.4 L/100 km,3.8 L/100 km,4.7 L/100 km,1.48 m,,,,,,,,,,,
Volkswagen Golf 1.2 Auto New NCT,https://www.donedeal.ie/cars-for-sale/volkswagen-golf-1-2-auto-new-nct/39025349,---,"22,621 km",1.2 L Petrol,---,2019,Automatic,1,Volkswagen,Petrol,Hatchback,5,---,---,White,,,,Co. Dublin,"Independent Dealer
4.9/5","Dublin 14, Co. Dublin",Golf,"€21,495",,,,,,,,,,,,,,,,,,,
Bmw 520,https://www.donedeal.ie/cars-for-sale/bmw-520/39338914,N,"203,000 mi",2.0 L Diesel,Dec 2025,2010,Automatic,1,BMW,,,,,,,280,Ireland,UK,,"Private Seller
No rating yet","Dunmore, Co. Galway",5-Series,"€6,400",,,,,,,,,,,,,,,,,,,
Volkswagen Tiguan Highline 2.0 TDI 6speed 150BHP,https://www.donedeal.ie/cars-for-sale/volkswagen-tiguan-highline-2-0-tdi-6speed-150bhp/34079073,Highline,"82,551 km",2.0 L Diesel,Jan 2027,2019,Manual,1,Volkswagen,Diesel,SUV,5,Luxury Trim,5,Blue,270,Ireland,No,Co. Galway,Independent Dealer,"Portumna, Co. Galway",Tiguan,"€32,500",2.0 L,4.49 m,58 L,1.84 m,4.3 L/100 km,4.8 L/100 km,5.6 L/100 km,1.65 m,"1,655 L",19 cm,,,,,,,,,
"Cars, vans and jeeps, Commercial & Private",https://www.donedeal.ie/cars-for-sale/cars-vans-and-jeeps-commercial-private/23975615,N,---,2.4 L Diesel,---,2006,Manual,2,Ford,,,,,,,,Ireland,No,,"Trader
No rating yet","Sligo Town, Co. Sligo",Transit,€0,,,,,,,,,,,,,,,,,,,
BMW 5series..REDUCED Sunroof,https://www.donedeal.ie/cars-for-sale/bmw-5series-reduced-sunroof/39338892,SE,"181,296 mi",2.0 L Diesel,Aug 2025,2011,Automatic,4,BMW,Diesel,Saloon,4,Base Trim,5,Black,280,Ireland,N. Ireland,,"Private Seller
No rating yet","Clonmel, Co. Tipperary",5-Series,"€4,900",2.0 L,4.90 m,70 L,1.86 m,4.5 L/100 km,5.2 L/100 km,6.4 L/100 km,1.46 m,,14 cm,,,,,,,,,
"2014 Audi A3 1.4TFSI AUTO 50,000KMS+1YEAR WARRANTY",https://www.donedeal.ie/cars-for-sale/2014-audi-a3-1-4tfsi-auto-50-000kms1year-warranty/39132661?campaign=3,---,"50,000 km",1.4 L Petrol,Mar 2026,2014,Automatic,1,Audi,Petrol,Hatchback,5,---,5,Red,0,Ireland,Unknown,,Independent Dealer,Co. Dublin,A3,"€13,890",,,,,,,,,,,,,,,,,,,
Opel Corsa GS Auto,https://www.donedeal.ie/cars-for-sale/opel-corsa-gs-auto/39254303?campaign=3,GS,3 km,1.2 L Petrol,---,2025,Automatic,0,Opel,Petrol,Hatchback,5,Medium Trim,5,Black,270,Ireland,Unknown,Co. Laois,"Franchise Dealer
4.6/5",Co. Laois,Corsa,"€31,750",1.2 L,4.06 m,,1.77 m,,,,1.44 m,"1,118 L",,,,,,,,,,
2019 Land Rover Range Rover 3.0D SDV6 4WD HSE,https://www.donedeal.ie/cars-for-sale/2019-land-rover-range-rover-3-0d-sdv6-4wd-hse/39146565?campaign=3,HSE,"152,000 km",3.0 L Diesel,May 2027,2019,Automatic,1,Land Rover,Diesel,SUV,5,Base Trim,5,Grey,1250,Ireland,No,Co. Wexford,"Independent Dealer
4.1/5","Gorey, Co. Wexford",Range Rover,"€52,950",3.0 L,5.00 m,,2.07 m,6.4 L/100 km,6.9 L/100 km,7.8 L/100 km,1.87 m,,,,,,,,,,,
Nissan Silvia s14 (vintage),https://www.donedeal.ie/cars-for-sale/nissan-silvia-s14-vintage/39338872,N,"164,000 km",2.0 L Petrol,---,1994,Automatic,11,Nissan,,,,,,,710,UK,,,"Verified Private Seller
No rating yet","Banagher, Co. Offaly",200SX,"€21,000",,,,,,,,,,,,,,,,,,,
Suzuki Swift Zc72s Zc72s 1242 Auto,https://www.donedeal.ie/cars-for-sale/suzuki-swift-zc72s-zc72s-1242-auto/39018985,---,"127,820 km",1.2 L Petrol,Oct 2025,2012,Automatic,4,Suzuki,Petrol,Hatchback,5,---,---,Red,,,,Co. Kildare,Independent Dealer,"Naas, Co. Kildare",Swift,No Price,,,,,,,,,,,,,,,,,,,
Mazda 3 1.5D 2016,https://www.donedeal.ie/cars-for-sale/mazda-3-1-5d-2016/39338849,EXECUTIVE,"197,000 km",1.5 L Diesel,Jun 2026,2016,Manual,3,Mazda,Diesel,Saloon,4,Base Trim,5,Blue,180,Ireland,No,,"Private Seller
No rating yet","Caherdavin, Co. Limerick",Mazda3,"€6,995",1.5 L,4.58 m,51 L,1.80 m,3.5 L/100 km,3.8 L/100 km,4.3 L/100 km,1.47 m,,,5/5,,,,86%,81%,93%,65%,
Mercedes-Benz E-Class E 200 D A/T Avantgarde,https://www.donedeal.ie/cars-for-sale/mercedes-benz-e-class-e-200-d-a-t-avantgarde/39160848,Avantgarde,"55,610 km",1.6 L Diesel,Jan 2025,2021,Automatic,1,Mercedes-Benz,Diesel,Saloon,4,Base Trim,5,White,210,Ireland,No,Co. Cork,"Franchise Dealer
4.7/5",Co. Cork,E-Class,"€49,950",1.6 L,4.94 m,66 L,1.85 m,,4.4 L/100 km,,,,,5/5,,,,90%,62%,95%,77%,
Kia Rio EX 4DR,https://www.donedeal.ie/cars-for-sale/kia-rio-ex-4dr/39110971,L,"145,248 km",1.2 L Petrol,Nov 2025,2014,Manual,2,Kia,Petrol,Hatchback,4,Base Trim,5,Silver,,Ireland,No,Co. Clare,Franchise Dealer,"Ennis, Co. Clare",Rio,"€7,900",1.2 L,4.05 m,43 L,1.72 m,,,,1.46 m,923 L,14 cm,5/5,,,,84%,86%,92%,46%,
Skoda superb automatic,https://www.donedeal.ie/cars-for-sale/skoda-superb-automatic/39123386,N,"195,000 mi",2.0 L Diesel,Mar 2026,2010,---,1,Skoda,,,,,,,600,Ireland,UK,,"Verified Private Seller
No rating yet","Naas, Co. Kildare",Superb,"€3,250",,,,,,,,,,,,,,,,,,,
Nissan X-Trail Epower X-trail SVE 5 Seater,https://www.donedeal.ie/cars-for-sale/nissan-x-trail-epower-x-trail-sve-5-seater/38914112,SVE,"10,352 km",1.5 L Petrol,Jan 2028,2024,Automatic,1,Nissan,Petrol,SUV,5,Medium Trim,5,Grey,210,Ireland,No,Co. Dublin,"Franchise Dealer
4.6/5","Dublin 11, Co. Dublin",X-Trail,"€49,995",1.5 L,4.68 m,,1.84 m,,5.8 L/100 km,,1.72 m,"1,396 L",,5/5,,,,90%,95%,91%,70%,
Seat Leon 1.9,https://www.donedeal.ie/cars-for-sale/seat-leon-1-9/39123385,N,"250,000 mi",1.9 L Diesel,Mar 2024,2010,---,6,SEAT,,,,,,,280,Ireland,UK,,"Private Seller
No rating yet","Coill Dubh, Co. Kildare",Leon,"€2,000",,,,,,,,,,,,,,,,,,,
MG HS HSE Phev - Exclusive digital Dash touchscre,https://www.donedeal.ie/cars-for-sale/mg-hs-hse-phev-exclusive-digital-dash-touchscre/39018015,Exclusive,"81,999 km",1.5 L Hybrid,Mar 2026,2022,Automatic,2,MG,Hybrid,Hatchback,5,Medium Trim,5,White,,Ireland,No,Co. Dublin,Franchise Dealer,Co. Dublin,HS,"€25,495",1.5 L,4.57 m,37 L,1.88 m,,,,,"1,375 L",,5/5,258 hp,190 km/h,6.9 sec,81%,76%,92%,64%,16.6 kWh
Volkswagen Golf 1.2 Auto New NCT,https://www.donedeal.ie/cars-for-sale/volkswagen-golf-1-2-auto-new-nct/39025328,---,"77,708 km",1.2 L Petrol,---,2015,Automatic,1,Volkswagen,Petrol,Hatchback,5,---,---,Black,,,,Co. Dublin,"Independent Dealer
4.9/5","Dublin 14, Co. Dublin",Golf,"€13,495",,,,,,,,,,,,,,,,,,,
162 Dacia Sandero Stepway *Open to Offers*,https://www.donedeal.ie/cars-for-sale/162-dacia-sandero-stepway-open-to-offers/39338792,STEPWAY ALTERNATIVE,"90,190 mi",1.5 L Diesel,Aug 2026,2016,Manual,3,Dacia,Diesel,Hatchback,5,Base Trim,5,Blue,180,Ireland,N. Ireland,,"Private Seller
No rating yet","Navan, Co. Meath",Sandero Stepway,"€10,000",1.5 L,4.08 m,,1.73 m,3.8 L/100 km,3.8 L/100 km,3.8 L/100 km,1.62 m,"1,200 L",,4/5,,,,79%,55%,80%,57%,
Kia Xceed Phev 5DR Auto,https://www.donedeal.ie/cars-for-sale/kia-xceed-phev-5dr-auto/38785091,-,"47,218 mi",1.6 L Hybrid,Mar 2027,2023,Automatic,1,Kia,Hybrid,SUV,5,Medium Trim,5,Black,,Ireland,No,Co. Donegal,Franchise Dealer,"Letterkenny, Co. Donegal",XCeed,"€26,900",1.6 L,4.40 m,37 L,1.83 m,,,,1.48 m,"1,378 L",18 cm,,141 hp,188 km/h,11.0 sec,,,,,8.9 kWh
2018 Dacia Sandero,https://www.donedeal.ie/cars-for-sale/2018-dacia-sandero/39234213,ALTERNATIVE,"119,000 km",1.0 L Petrol,Jan 2026,2018,Manual,2,Dacia,Petrol,Hatchback,4,Base Trim,5,Black,200,Ireland,No,,"Private Seller
No rating yet","Limerick City, Co. Limerick",Sandero,€123,1.0 L,4.07 m,,1.73 m,4.5 L/100 km,5.2 L/100 km,6.5 L/100 km,1.52 m,,,4/5,,,,79%,55%,80%,57%,
Jaguar XF 2.0 D RWD CHEQUERED FLAG AUTO,https://www.donedeal.ie/cars-for-sale/jaguar-xf-2-0-d-rwd-chequered-flag-auto/39123320,Chequered Flag,"90,350 km",2.0 L Diesel,Feb 2026,2020,Automatic,3,Jaguar,Diesel,Saloon,4,Sports Trim,5,Grey,280,Ireland,No,,"Verified Private Seller
No rating yet","Ballincollig, Co. Cork",XF,"€24,000",2.0 L,4.95 m,,1.98 m,,5.2 L/100 km,,1.46 m,,,5/5,,,,84%,83%,92%,80%,
Hyundai Tucson,https://www.donedeal.ie/cars-for-sale/hyundai-tucson/39123308,N,"96,000 km",2.0 L Petrol,Feb 2026,2007,Manual,4,Hyundai,,,,,,,710,Ireland,No,,"Private Seller
No rating yet","Granard, Co. Longford",Tucson,"€3,750",,,,,,,,,,,,,,,,,,,
Mercedes-Benz E-Class E 220 D Mhev Avantgarde Plus,https://www.donedeal.ie/cars-for-sale/mercedes-benz-e-class-e-220-d-mhev-avantgarde-plus/37352503,Avantgarde Plus,"12,368 km",2.0 L Diesel Hybrid,Feb 2028,2024,Automatic,1,Mercedes-Benz,Diesel Hybrid,Saloon,4,Base Trim,5,Black,200,Ireland,No,Co. Cork,"Franchise Dealer
4.7/5",Co. Cork,E-Class,"€76,950",2.0 L,4.95 m,66 L,1.88 m,,4.8 L/100 km,,,,,5/5,197 hp,238 km/h,7.6 sec,90%,62%,95%,77%,0.9 kWh
Bmw,https://www.donedeal.ie/cars-for-sale/bmw/39123135,SE,"194,000 km",2.0 L Diesel,Mar 2027,2017,Automatic,2,BMW,Diesel,Saloon,4,Base Trim,5,Black,190,Ireland,No,,"Verified Private Seller
No rating yet","Killarney, Co. Kerry",5-Series,"€17,000",2.0 L,4.94 m,,1.87 m,3.8 L/100 km,4.1 L/100 km,4.7 L/100 km,1.48 m,,,,,,,,,,,
Audi A1 Tfsi S Line,https://www.donedeal.ie/cars-for-sale/audi-a1-tfsi-s-line/38951593,---,"14,781 mi",1.0 L Petrol,---,2021,Manual,---,Audi,Petrol,---,---,---,5,Red,,UK,,,Independent Dealer,"Newry, Co. Down",A1,"£18,495",,,,,,,,,,,,,,,,,,,
2016 Opel Astra J Saloon,https://www.donedeal.ie/cars-for-sale/2016-opel-astra-j-saloon/39338732,SC,"186,800 km",1.6 L Diesel,May 2026,2016,Manual,4,Opel,Diesel,Saloon,4,Medium Trim,5,Grey,180,Ireland,No,,"Private Seller
No rating yet","Glounthaune, Co. Cork",Astra,"€3,600",1.6 L,4.66 m,,1.81 m,3.4 L/100 km,3.7 L/100 km,4.3 L/100 km,1.50 m,460 L,,5/5,,,,84%,71%,95%,46%,
Hyundai Tucson 2WD Executive Plus w 2 Tone Roof,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-2wd-executive-plus-w-2-tone-roof/39091172,Executive Plus,"46,341 km",1.6 L Diesel,Feb 2027,2023,Manual,1,Hyundai,Diesel,SUV,5,Luxury Trim,5,Grey,210,Ireland,No,Co. Galway,"Franchise Dealer
4.7/5",Co. Galway,Tucson,"€36,950",1.6 L,4.50 m,55 L,1.87 m,,5.3 L/100 km,,1.65 m,"1,777 L",17 cm,5/5,,,,87%,70%,86%,66%,
Toyota Auris 1.6 D-4d 110 Business E Edition 5DR,https://www.donedeal.ie/cars-for-sale/toyota-auris-1-6-d-4d-110-business-e-edition-5dr/39028566,Luna,"193,000 km",1.6 L Diesel,May 2025,2016,Manual,2,Toyota,Diesel,Hatchback,5,Medium Trim,5,Blue,,Ireland,UK,,Independent Dealer,"Midleton, Co. Cork",Auris,"€10,900",1.6 L,4.28 m,,1.76 m,,,,1.46 m,,,,,,,,,,,
Vauxhall Zafira 1.7 Cdti Exclusive ECO 5DR E/F 11,https://www.donedeal.ie/cars-for-sale/vauxhall-zafira-1-7-cdti-exclusive-eco-5dr-e-f-11/37794298,---,"146,437 mi",1.7 L Diesel,Feb 2026,2011,Manual,3,Vauxhall,Diesel,MPV,5,---,7,Black,,Ireland,N. Ireland,Co. Kerry,"Independent Dealer
4.4/5","Lisselton, Co. Kerry",Zafira,"€4,000",,,,,,,,,,,,,,,,,,,
Nissan Qashqai 2020,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-2020/39123163,SVE,"23,000 km",1.3 L Petrol,Nov 2026,2020,Manual,2,Nissan,Petrol,Hatchback,5,Medium Trim,5,White,270,Ireland,UK,,"Private Seller
No rating yet","Cavan Town, Co. Cavan",Qashqai,"€25,450",1.3 L,4.39 m,,1.81 m,5.0 L/100 km,5.7 L/100 km,7.0 L/100 km,1.60 m,"1,585 L",,5/5,,,,83%,79%,88%,69%,
Vauxhall Astra 2010,https://www.donedeal.ie/cars-for-sale/vauxhall-astra-2010/39338624,N,"173,000 mi",1.7 L Diesel,Jun 2025,2010,---,4,Vauxhall,,,,,,,200,Ireland,Unknown country,,"Private Seller
No rating yet","Kingscourt, Co. Cavan",Astra,"€1,800",,,,,,,,,,,,,,,,,,,
Kia Stonic 1.0 K2 PE Petrol My2021 5DR,https://www.donedeal.ie/cars-for-sale/kia-stonic-1-0-k2-pe-petrol-my2021-5dr/36010086,PE,"86,900 km",1.0 L Petrol,Jul 2025,2021,Manual,1,Kia,Petrol,Estate,5,Medium Trim,5,Blue,,Ireland,No,Co. Cork,Franchise Dealer,Co. Cork,Stonic,"€19,950",1.0 L,4.14 m,45 L,1.76 m,,,,1.52 m,"1,155 L",18 cm,5/5,,,,84%,59%,93%,71%,
Audi A4 2011,https://www.donedeal.ie/cars-for-sale/audi-a4-2011/39338617,SE,"324,248 km",2.0 L Diesel,Jun 2025,2011,Manual,4,Audi,Diesel,Saloon,4,Medium Trim,5,Black,280,Ireland,UK,,"Private Seller
No rating yet","Limerick City, Co. Limerick",A4,"€4,250",2.0 L,4.70 m,,1.83 m,4.3 L/100 km,5.1 L/100 km,6.5 L/100 km,1.43 m,,,,,,,,,,,
Volkswagen,https://www.donedeal.ie/cars-for-sale/volkswagen/39123109,Trendline,"54,500 km",1.0 L Petrol,Jun 2026,2018,Manual,3,Volkswagen,Petrol,Hatchback,5,Base Trim,5,Black,190,Ireland,UK,,"Private Seller
No rating yet","Navan, Co. Meath",Golf,"€16,000",1.0 L,4.26 m,50 L,1.79 m,4.1 L/100 km,4.8 L/100 km,5.9 L/100 km,1.49 m,"1,270 L",14 cm,5/5,,,,89%,71%,94%,65%,
Volkswagen Golf 1.2 Auto New NCT,https://www.donedeal.ie/cars-for-sale/volkswagen-golf-1-2-auto-new-nct/39025300,---,"97,264 km",1.2 L Petrol,---,2016,Automatic,1,Volkswagen,Petrol,Hatchback,5,---,---,White,,,,Co. Dublin,"Independent Dealer
4.9/5","Dublin 14, Co. Dublin",Golf,"€14,995",,,,,,,,,,,,,,,,,,,
Hyundai,https://www.donedeal.ie/cars-for-sale/hyundai/39122959,Comfort,"167,000 mi",1.7 L Diesel,Feb 2027,2017,Manual,3,Hyundai,Diesel,Estate,4,Base Trim,5,Black,200,Ireland,UK,,"Private Seller
No rating yet","Waterford City, Co. Waterford",i40,"€8,450",1.7 L,4.74 m,,1.82 m,3.7 L/100 km,4.2 L/100 km,5.4 L/100 km,1.47 m,,,5/5,,,,86%,86%,92%,43%,
Audi A6 1.9tdi Automatic,https://www.donedeal.ie/cars-for-sale/audi-a6-1-9tdi-automatic/39338593,N,"247,000 mi",1.9 L Diesel,May 2025,2004,---,2,Audi,,,,,,,673,Ireland,UK,,"Private Seller
No rating yet",Co. Sligo,A6,"€2,000",,,,,,,,,,,,,,,,,,,
Suzuki SX4 1.0 Boosterjet SZ4 5DR,https://www.donedeal.ie/cars-for-sale/suzuki-sx4-1-0-boosterjet-sz4-5dr/39411606?campaign=3,---,"123,399 km",1.0 L Petrol,Sep 2025,2019,Manual,2,Suzuki,Petrol,Hatchback,5,---,5,Red,,Ireland,No,Co. Donegal,"Franchise Dealer
4.7/5","Milford, Co. Donegal",SX4,"€16,950",,,,,,,,,,,,,,,,,,,
Volkswagen ID.3 PRO 150 KW Family 1 Lady Owner Lo,https://www.donedeal.ie/cars-for-sale/volkswagen-id-3-pro-150-kw-family-1-lady-owner-lo/39444245?campaign=3,Family,"34,800 km",418 km (WLTP) Electric,Feb 2027,2021,Automatic,1,Volkswagen,Electric,Estate,5,---,5,Grey,120,Ireland,No,Co. Wexford,Independent Dealer,Co. Wexford,ID.3,"€19,995",,,,,,,,,,,,,,,,,,,
New Wheelchair Car @ DMmobility,https://www.donedeal.ie/cars-for-sale/new-wheelchair-car-dmmobility/38940207?campaign=3,---,0 km,1.5 L Diesel,---,2025,Automatic,0,Citroen,Diesel,MPV,5,---,5,Green,0,Ireland,Unknown,,Independent Dealer,Co. Roscommon,Berlingo Multispace,€0,,,,,,,,,,,,,,,,,,,
Landrover defender Td5,https://www.donedeal.ie/cars-for-sale/landrover-defender-td5/37331028,N,"92,000 mi",Unknown,---,2001,Manual,5,Other,,,,,,,,Northern Ireland,,,"Private Seller
No rating yet","Ballynahinch, Co. Down",Other,"£20,450",,,,,,,,,,,,,,,,,,,
Audi A4 2016 TDI Ultra,https://www.donedeal.ie/cars-for-sale/audi-a4-2016-tdi-ultra/39338557,SE,"293,000 km",2.0 L Diesel,Oct 2026,2016,Automatic,2,Audi,Diesel,Saloon,4,Medium Trim,5,Grey,190,Ireland,No,,"Private Seller
No rating yet","Mullingar, Co. Westmeath",A4,"€12,500",2.0 L,4.73 m,,1.84 m,3.5 L/100 km,3.9 L/100 km,4.7 L/100 km,1.43 m,,,5/5,,,,87%,75%,90%,75%,
Mercedes-Benz C-Class C43 AMG 4matic Estate,https://www.donedeal.ie/cars-for-sale/mercedes-benz-c-class-c43-amg-4matic-estate/38292410,---,77 km,2.0 L Petrol,---,2025,Automatic,---,Mercedes-Benz,Petrol,Estate,5,---,---,Grey,,Ireland,No,Co. Cork,"Franchise Dealer
4.7/5",Co. Cork,C-Class,"€119,950",,,,,,,,,,,,,,,,,,,
Fiat,https://www.donedeal.ie/cars-for-sale/fiat/39122947,City Life,"34,680 km",1.0 L Petrol,Apr 2025,2021,Manual,1,Fiat,Petrol,Hatchback,5,Base Trim,5,Black,200,Ireland,No,,"Verified Private Seller
No rating yet","Trim, Co. Meath",Panda,"€9,000",1.0 L,3.65 m,,1.64 m,,5.5 L/100 km,,,,,0/5,,,,16%,7%,45%,47%,
2014 Mercedes Benz Cls 250 May swap or sell,https://www.donedeal.ie/cars-for-sale/2014-mercedes-benz-cls-250-may-swap-or-sell/39338502,SPORT,"168,000 km",2.1 L Diesel,Jan 2026,2014,Automatic,3,Mercedes-Benz,Diesel,Saloon,4,Luxury Trim,5,Black,280,Ireland,UK,,"Private Seller
1.4/5 (8)",Co. Dublin,CLS,"€13,500",2.1 L,4.94 m,,1.88 m,4.4 L/100 km,5.1 L/100 km,6.4 L/100 km,1.42 m,,,,,,,,,,,
Nissan Qashqai 2016 Panoramic Roof,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-2016-panoramic-roof/39338460,SV,"262,000 km",1.5 L Diesel,Jul 2026,2016,Manual,2,Nissan,Diesel,Hatchback,4,Medium Trim,5,Grey,180,Ireland,No,,"Private Seller
No rating yet","Athenry, Co. Galway",Qashqai,"€12,500",1.5 L,4.38 m,55 L,1.81 m,,4.0 L/100 km,,1.59 m,"1,585 L",,5/5,,,,83%,79%,88%,69%,
Volkswagen,https://www.donedeal.ie/cars-for-sale/volkswagen/39122904,Sport,"113,945 km",2.0 L Diesel,Dec 2025,2015,Automatic,1,Volkswagen,Diesel,Coupe,4,Sports Trim,5,Black,270,Ireland,UK,,"Private Seller
No rating yet","Dunshaughlin, Co. Meath",CC,"€15,950",2.0 L,4.80 m,,1.86 m,4.1 L/100 km,4.7 L/100 km,5.6 L/100 km,1.42 m,,12 cm,,,,,,,,,
Peugeot 3008 Allure Hybrid 136PS E-dsc6 Auto,https://www.donedeal.ie/cars-for-sale/peugeot-3008-allure-hybrid-136ps-e-dsc6-auto/38920005,---,0 km,1.2 L Petrol Hybrid,Jan 2029,2025,Automatic,---,Peugeot,Petrol Hybrid,SUV,5,---,---,Grey,,Ireland,No,Co. Sligo,Franchise Dealer,"Sligo, Co. Sligo",3008,"€46,825",,,,,,,,,,,,,,,,,,,
Kia Picanto PE 1.0 Auto MY2 My2021 5DR,https://www.donedeal.ie/cars-for-sale/kia-picanto-pe-1-0-auto-my2-my2021-5dr/39036357,PE,"14,000 km",1.0 L Petrol,Feb 2026,2022,Automatic,1,Kia,Petrol,Hatchback,5,Medium Trim,5,Red,,Ireland,No,,Franchise Dealer,"Edenderry, Co. Offaly",Picanto,No Price,1.0 L,3.60 m,35 L,1.60 m,,,,1.49 m,"1,010 L",14 cm,3/5,,,,64%,25%,79%,54%,
141 Ford B Max,https://www.donedeal.ie/cars-for-sale/141-ford-b-max/39338417,-,"163,000 km",1.5 L Diesel,Aug 2025,2014,Manual,4,Ford,Diesel,Hatchback,4,Base Trim,5,Silver,190,Ireland,No,,"Private Seller
No rating yet","Birr, Co. Offaly",B-Max,€1,1.5 L,4.08 m,47 L,1.75 m,3.8 L/100 km,4.1 L/100 km,4.8 L/100 km,1.60 m,"1,386 L",,5/5,,,,84%,71%,92%,67%,
2014 Opel Astra,https://www.donedeal.ie/cars-for-sale/2014-opel-astra/39338377,SC,"187,000 km",1.2 L Diesel,May 2025,2014,Manual,2,Opel,Diesel,Saloon,4,Medium Trim,5,Black,200,Ireland,No,,"Private Seller
No rating yet","Ballyagran, Co. Limerick",Astra,"€5,450",1.2 L,4.66 m,,1.81 m,3.6 L/100 km,4.0 L/100 km,4.7 L/100 km,1.50 m,460 L,,5/5,,,,84%,71%,95%,46%,
Renault Arkana R.s. Line Auto Hybrid,https://www.donedeal.ie/cars-for-sale/renault-arkana-r-s-line-auto-hybrid/38813015,R.S. LINE,"42,653 km",1.3 L Petrol,Feb 2026,2022,Automatic,3,Renault,Petrol,Hatchback,5,Luxury Trim,5,Black,210,Ireland,No,Co. Cork,"Franchise Dealer
4.4/5",Co. Cork,Arkana,"€26,900",1.3 L,4.57 m,,1.82 m,,5.8 L/100 km,,,,,,,,,,,,,
320d M Sport Coupe,https://www.donedeal.ie/cars-for-sale/320d-m-sport-coupe/39338359,N,"150,165 mi",2.0 L Diesel,Jul 2025,2009,---,4,BMW,,,,,,,270,Ireland,UK,,"Private Seller
No rating yet","Carlow Town, Co. Carlow",3-Series,"€5,500",,,,,,,,,,,,,,,,,,,
BMW 5-Series 2013,https://www.donedeal.ie/cars-for-sale/bmw-5-series-2013/39338356,M SPORT,"160,000 mi",2.0 L Diesel,Feb 2026,2013,Automatic,5,BMW,Diesel,Saloon,4,Sports Trim,5,Silver,270,Ireland,UK,,"Private Seller
No rating yet","Clonsilla, Co. Dublin",5-Series,"€10,499",2.0 L,4.90 m,,1.86 m,4.3 L/100 km,4.9 L/100 km,5.9 L/100 km,1.45 m,,14 cm,,,,,,,,,
Audi A5 2017,https://www.donedeal.ie/cars-for-sale/audi-a5-2017/39338351,S Line,"129,900 mi",2.0 L Diesel,Aug 2025,2017,Automatic,4,Audi,Diesel,Coupe,2,Sports Trim,4,Red,200,Ireland,UK,,"Private Seller
No rating yet","Blessington, Co. Wicklow",A5,"€23,500",2.0 L,4.67 m,,1.85 m,3.8 L/100 km,4.2 L/100 km,4.9 L/100 km,1.37 m,,,,,,,,,,,
Peugeot 3008 2018 Peugeot 3008 1.6 Bluehdi 120bhp,https://www.donedeal.ie/cars-for-sale/peugeot-3008-2018-peugeot-3008-1-6-bluehdi-120bhp/39028047,Allure,"70,449 km",1.6 L Diesel,Jan 2026,2018,Manual,1,Peugeot,Diesel,MPV,4,Medium Trim,5,Blue,190,Ireland,No,Co. Cork,Franchise Dealer,Co. Cork,3008,"€20,950",1.6 L,4.45 m,,1.84 m,3.5 L/100 km,4.0 L/100 km,4.7 L/100 km,1.62 m,"1,482 L",,5/5,,,,85%,58%,86%,67%,
Ford Transit 2017,https://www.donedeal.ie/cars-for-sale/ford-transit-2017/39122680,---,"7,900 km",2.2 L Diesel,---,2017,Manual,3,Ford,Diesel,Van,3,---,3,White,,Ireland,No,,"Verified Private Seller
No rating yet","Blanchardstown, Co. Dublin",Transit,"€13,900",,,,,,,,,,,,,,,,,,,
Nissan X-Trail Epower X-trail SVE 5 Seater,https://www.donedeal.ie/cars-for-sale/nissan-x-trail-epower-x-trail-sve-5-seater/38893755,SVE,"19,497 km",1.5 L Petrol,Jan 2028,2024,Automatic,1,Nissan,Petrol,SUV,5,Medium Trim,5,White,210,Ireland,No,Co. Meath,Franchise Dealer,Co. Meath,X-Trail,"€51,950",1.5 L,4.68 m,,1.84 m,,5.8 L/100 km,,1.72 m,"1,396 L",,5/5,,,,90%,95%,91%,70%,
