name,url,Trim,Mileage,Engine,NCT_Expiry,Year,Transmission,Total_Owners,Make,Fuel_Type,Body_Type,Doors,Trim_Level,Seats,Colour,Road_Tax,Rural_Fuel_Consumption,Comb_Fuel_Consumption,Urban_Fuel_Consumption,Engine_Size,External_Length,External_Height,External_Width,Euro_NCAP_Overall_Safety_Rating,Child_Protection_Rating,Safety_Assistance_Rating,Adult_Protection_Rating,Pedestrian_Protection_Rating,Current_Country_Of_Reg,Imported,Independant_Dealer,Dublin2,Model,Price,Boot_Volume,Ground_Clearance,County,Fuel_Tank_Capacity,Engine_Power,Top_Speed,Battery_Capacity,Acceleration,section
2022 VOLVO XC60 INSCRIPT T6 RCHARGE // HIGH SPEC,https://www.donedeal.ie/cars-for-sale/2022-volvo-xc60-inscript-t6-rcharge-high-spec/39384113,Inscription,"64,181 mi",2.0 L Petrol Plug-in Hybrid,Feb 2026,2022,Automatic,1,Volvo,Petrol Plug-in Hybrid,SUV,5,Medium Trim,5,Silver,150,,2.4 L/100 km,,2.0 L,4.69 m,1.66 m,2.00 m,,,,,,Ireland,No,Independent Dealer,"Tallaght, Co. Dublin",XC60,"€43,950","1,395 L",22 cm,Co. Dublin,70 L,340 hp,,,5.6 sec,selection1
PEUGEOT 308 1.5 DIESEL ALLURE PREMIUM ESTATE,https://www.donedeal.ie/cars-for-sale/peugeot-308-1-5-diesel-allure-premium-estate/39342419,Allure,"59,000 km",1.5 L Diesel,---,2022,Automatic,1,Peugeot,Diesel,Estate,5,Medium Trim,5,Red,200,3.4 L/100 km,3.8 L/100 km,4.4 L/100 km,1.5 L,4.25 m,1.46 m,1.80 m,,,,,,Ireland,No,Independent Dealer,"Tallaght, Co. Dublin",308,"€26,950","1,228 L",11 cm,Co. Dublin,53 L,,,,,selection1
2021 LEXUS UX 300E FULL ELECTRIC PREMIUM PLUS,https://www.donedeal.ie/cars-for-sale/2021-lexus-ux-300e-full-electric-premium-plus/39361737,all,"32,159 mi",280 km Electric,---,2021,Automatic,1,Lexus,Electric,SUV,5,---,5,Grey,120,,,,,,,,,,,,,Ireland,No,Independent Dealer,"Tallaght, Co. Dublin",UX,"€26,950",,,Co. Dublin,,,,,,selection1
VOLKSWAGEN PASSAT 1.6 TDI SE BUSINESS BLUEMOTION,https://www.donedeal.ie/cars-for-sale/volkswagen-passat-1-6-tdi-se-business-bluemotion/39316488,Trendline,"150,000 km",1.6 L Diesel,Mar 2027,2017,Manual,3,Volkswagen,Diesel,Saloon,4,Base Trim,5,Grey,190,3.6 L/100 km,4.0 L/100 km,4.7 L/100 km,1.6 L,4.77 m,1.46 m,1.83 m,,,,,,Ireland,UK,Independent Dealer,"Tallaght, Co. Dublin",Passat,"€14,995",586 L,15 cm,Co. Dublin,,,,,,selection1
MERCEDES-BENZ A CLASS 250e AMG NIGHT EDITI PREMIUM,https://www.donedeal.ie/cars-for-sale/mercedes-benz-a-class-250e-amg-night-editi-premium/39298976,AMG Line,"105,202 mi",1.3 L Petrol Plug-in Hybrid,Feb 2026,2022,Automatic,1,Mercedes-Benz,Petrol Plug-in Hybrid,Hatchback,5,Base Trim,5,Grey,140,,1.1 L/100 km,,1.3 L,4.42 m,1.44 m,1.80 m,5/5,,,,,Ireland,No,Independent Dealer,"Tallaght, Co. Dublin",A-Class,"€25,950","1,195 L",10 cm,Co. Dublin,51 L,218 hp,,,6.6 sec,selection1
BMW 3 SERIES 330E M SPORT HYBRID // TAN LEATHER,https://www.donedeal.ie/cars-for-sale/bmw-3-series-330e-m-sport-hybrid-tan-leather/39368540,M Sport,"72,282 mi",2.0 L Petrol Hybrid,Mar 2027,2021,Automatic,1,BMW,Petrol Hybrid,Saloon,4,Sports Trim,5,White,140,,6.8 L/100 km,,2.0 L,4.71 m,1.44 m,1.83 m,,,,,,Ireland,No,Independent Dealer,"Tallaght, Co. Dublin",3-Series,"€29,950",,15 cm,Co. Dublin,,,,,,selection1
2022 AUDI E-TRON SPORT 50 QUATTRO,https://www.donedeal.ie/cars-for-sale/2022-audi-e-tron-sport-50-quattro/39216903,all,"22,163 km",Electric,Jan 2027,2022,Automatic,1,Audi,Electric,SUV,5,Medium Trim,5,Blue,120,,,,,4.90 m,1.63 m,1.94 m,5/5,,,,,Ireland,No,Independent Dealer,"Tallaght, Co. Dublin",e-tron,"€33,950","1,725 L",,Co. Dublin,,,,,,selection1
Nissan Leaf 40KWH 212 REG,https://www.donedeal.ie/cars-for-sale/nissan-leaf-40kwh-212-reg/39326484,SV,"40,783 km",270 km (WLTP) Electric,Oct 2025,2021,Automatic,1,Nissan,Electric,Hatchback,4,Base Trim,5,Blue,120,,0.0 L/100 km,,,4.49 m,1.53 m,1.79 m,,,,,,Ireland,No,Independent Dealer,"Tallaght, Co. Dublin",Leaf,"€13,995",,,Co. Dublin,,150 hp,144 km/h,,7.9 sec,selection1
Mercedes-Benz E-Class E 200 AMG Line Auto Cabriol,https://www.donedeal.ie/cars-for-sale/mercedes-benz-e-class-e-200-amg-line-auto-cabriol/38835077?campaign=3,AMG Line,"22,500 km",2.0 L Petrol,Apr 2026,2022,Automatic,1,Mercedes-Benz,Petrol,Cabriolet,2,Luxury Trim,4,Blue,600,,7.8 L/100 km,,2.0 L,4.84 m,,1.86 m,,,,,,Ireland,No,"Franchise Dealer
4.8/5","Dublin 4, Co. Dublin",E-Class,"€64,950",,,Co. Dublin,66 L,,,,,selection1
2021 Range Rover Sport P400e HSE,https://www.donedeal.ie/cars-for-sale/2021-range-rover-sport-p400e-hse/38735062?campaign=3,HSE Dynamic,"61,000 mi",2.0 L Petrol Plug-in Hybrid,Apr 2025,2021,Automatic,1,Land Rover,Petrol Plug-in Hybrid,SUV,5,Sports Trim,5,Grey,180,,,,2.0 L,4.88 m,1.80 m,2.07 m,,,,,,Ireland,No,"Independent Dealer
4.8/5","Naas, Co. Kildare",Range Rover Sport,"€56,950","1,686 L",28 cm,Co. Kildare,90 L,,,13.1 kWh,,selection1
