Trim,Mileage,Engine,NCT_Expiry,Year,Transmission,Total_Owners,Make,Fuel_Type,Body_Type,Doors,Trim_Level,Seats,Colour,Road_Tax,Rural_Fuel_Consumption,Comb_Fuel_Consumption,Urban_Fuel_Consumption,Engine_Size,External_Length,External_Height,External_Width,Euro_NCAP_Overall_Safety_Rating,Child_Protection_Rating,Safety_Assistance_Rating,Adult_Protection_Rating,Pedestrian_Protection_Rating,Current_Country_Of_Reg,Imported,Independant_Dealer,Counties,Model,Price,Boot_Volume,Ground_Clearance,County,Fuel_Tank_Capacity,Engine_Power,Top_Speed,Battery_Capacity,Acceleration,section,combined,sentiment,sentiment3,sentiment2
SE,68147.0,2.0 L Diesel,Apr 2027,2023.0,Automatic,1,Audi,Diesel,SUV,4,Base Trim,5,Black,210.0,,5.1 L/100 km,,2.0 L,4.50 m,,1.84 m,,,,,,Ireland,No,"Independent Dealer
4.4/5","Portarlington, Co. Laois",Q3,39950.0,"1,400 L",,Co. Laois,58 L,,,,,selection1,Audi Q3,0.2434729064039409,1,1
R-Line,22944.0,1.0 L Petrol,Feb 2028,2024.0,Manual,1,Volkswagen,Petrol,SUV,5,Sports Trim,5,Grey,,,,,1.0 L,4.24 m,,1.82 m,5/5,87%,71%,96%,79%,Ireland,No,"Franchise Dealer
3.8/5",Co. Cork,T-Roc,34995.0,"1,290 L",,Co. Cork,50 L,,,,,selection1,Volkswagen T-Roc,0.1166666666666666,1,2
---,61500.0,1.4 L Petrol,---,2018.0,Automatic,---,Volkswagen,Petrol,MPV,---,---,---,Orange,,,,,,,,,,,,,,,,"Franchise Dealer
4.6/5","Dublin 11, Co. Dublin",Touran,24995.0,,,Co. Dublin,,,,,,selection1,Volkswagen Touran,0.0,1,3
EXECUTIVE,141621.92,1.8 L Petrol Hybrid,Apr 2026,2014.0,Automatic,1,Lexus,Petrol Hybrid,Hatchback,5,Luxury Trim,5,Black,180.0,4.0 L/100 km,4.1 L/100 km,4.1 L/100 km,1.8 L,4.32 m,1.43 m,1.77 m,5/5,84%,86%,94%,55%,Ireland,UK,"Private Seller
5.0/5 (2)","Dublin 11, Co. Dublin",CT,12900.0,985 L,13 cm,,45 L,,,,,selection1,Lexus CT,0.202111111111111,2,4
Feel Pack,34952.0,1.2 L Petrol,Jan 2026,2022.0,Manual,1,Citroen,Petrol,Hatchback,4,Medium Trim,5,Blue,200.0,,5.4 L/100 km,,1.2 L,4.36 m,,1.80 m,4/5,83%,63%,76%,57%,Ireland,No,Franchise Dealer,"Mullingar, Co. Westmeath",C4,20995.0,"1,250 L",,Co. Westmeath,50 L,,,,,selection1,Citroen C4,0.2787499999999999,1,3
N,152913.04944,2.0 L Petrol,---,2010.0,Manual,2,Renault,,,,,,,800.0,,,,,,,,,,,,,Ireland,Unknown,Independent Dealer,"Kildare, Co. Kildare",Clio,9950.0,,,Co. Kildare,,,,,,selection1,Renault Clio,0.3897186147186148,2,4
XE,102634.0,200 km (NEDC) Electric,Aug 2025,2015.0,Automatic,5,Nissan,Electric,Hatchback,5,Base Trim,5,Red,120.0,,,,,4.45 m,1.55 m,1.77 m,5/5,83%,84%,89%,65%,Ireland,UK,"Private Seller
No rating yet","Mallow, Co. Cork",Leaf,4150.0,370 L,10 cm,,,109 hp,140 km/h,,11.5 sec,selection1,Nissan Leaf,0.2897603754940712,1,1
SE,36665.0,3.0 L Petrol Plug-in Hybrid,Jul 2027,2023.0,Automatic,1,Land Rover,Petrol Plug-in Hybrid,SUV,5,Base Trim,5,Gold,140.0,,0.8 L/100 km,,3.0 L,5.05 m,1.87 m,2.21 m,5/5,87%,82%,84%,72%,Ireland,No,"Franchise Dealer
4.2/5","Swords, Co. Dublin",Range Rover Sport,96900.0,"1,773 L",30 cm,Co. Dublin,90 L,,,38.2 kWh,,selection1,Land Rover Range Rover Sport,0.35,2,4
Launch Edition,32827.0,1.2 L Petrol,Jan 2025,2021.0,Manual,2,Hyundai,Petrol,Hatchback,5,Base Trim,5,White,190.0,4.3 L/100 km,5.2 L/100 km,6.3 L/100 km,1.2 L,4.04 m,1.46 m,1.78 m,,,,,,Ireland,No,"Franchise Dealer
4.3/5",Co. Waterford,i20,17995.0,"1,165 L",14 cm,Co. Waterford,40 L,,,,,selection1,Hyundai i20,0.1877539682539682,2,2
N,,1.2 L Petrol,Mar 2026,2007.0,Manual,8,Volkswagen,,,,,,,330.0,,,,,,,,,,,,,Ireland,No,"Private Seller
No rating yet","Portarlington, Co. Laois",Fox,1350.0,,,,,,,,,selection1,Volkswagen Fox,0.0,1,5
SE,145000.0,2.0 L Diesel,Jan 2026,2014.0,Manual,3,Opel,Diesel,Saloon,4,Medium Trim,5,Silver,180.0,3.3 L/100 km,3.7 L/100 km,4.6 L/100 km,2.0 L,4.84 m,1.48 m,1.86 m,,,,,,Ireland,No,"Verified Private Seller
3.0/5 (2)","Arklow, Co. Wicklow",Insignia,5500.0,"1,015 L",,,70 L,,,,,selection1,Opel Insignia,0.4604166666666667,1,5
---,178000.0,2.0 L Diesel,Nov 2025,2014.0,Automatic,3,Audi,Diesel,SUV,4,---,---,Silver,400.0,,,,,,,,,,,,,Ireland,No,Independent Dealer,Co. Galway,Q3,14500.0,,,,,,,,,selection1,Audi Q3,0.2434729064039409,1,1
