Trim,Mileage,Engine,NCT_Expiry,Year,Transmission,Total_Owners,Make,Fuel_Type,Body_Type,Doors,Trim_Level,Seats,Colour,Road_Tax,Rural_Fuel_Consumption,Comb_Fuel_Consumption,Urban_Fuel_Consumption,Engine_Size,External_Length,External_Height,External_Width,Euro_NCAP_Overall_Safety_Rating,Child_Protection_Rating,Safety_Assistance_Rating,Adult_Protection_Rating,Pedestrian_Protection_Rating,Current_Country_Of_Reg,Imported,Independant_Dealer,Counties,Model,Price,Boot_Volume,Ground_Clearance,County,Fuel_Tank_Capacity,Engine_Power,Top_Speed,Battery_Capacity,Acceleration,section,combined,sentiment,sentiment3,sentiment2
Titanium,47275.0,1.0 L Petrol Hybrid,Sep 2026,2022.0,Automatic,1,Ford,Petrol Hybrid,Hatchback,4,Medium Trim,5,Grey,200.0,,5.4 L/100 km,,1.0 L,4.38 m,,1.83 m,,,,,,Ireland,No,"Franchise Dealer
4.4/5","Claremorris, Co. Mayo",Focus,28950.0,,,Co. Mayo,,125 hp,195 km/h,0.4 kWh,10.2 sec,,Ford Focus,0.0116071428571428,1,4
S Line,44835.0,3.0 L Petrol Plug-in Hybrid,Jan 2025,2021.0,Automatic,2,Audi,Petrol Plug-in Hybrid,SUV,4,Luxury Trim,5,Blue,150.0,,,,3.0 L,5.06 m,,1.97 m,5/5,86%,72%,92%,71%,Ireland,No,"Franchise Dealer
4.8/5","Naas, Co. Kildare",Q7,62950.0,"1,835 L",,Co. Kildare,75 L,,,17.9 kWh,,,Audi Q7,-0.152020202020202,1,1
FLAIR PLUS PACK,185074.1,1.6 L Diesel,Mar 2026,2016.0,Manual,3,Citroen,Diesel,Hatchback,4,Luxury Trim,5,Black,180.0,3.5 L/100 km,3.8 L/100 km,4.4 L/100 km,1.6 L,4.33 m,1.49 m,1.79 m,5/5,85%,97%,90%,43%,Ireland,No,"Private Seller
No rating yet","Arklow, Co. Wicklow",C4,6250.0,"1,183 L",,,60 L,,,,,,Citroen C4,0.2787499999999999,1,3
Executive,70000.0,1.6 L Petrol Hybrid,Apr 2026,2022.0,Automatic,1,Hyundai,Petrol Hybrid,SUV,5,Medium Trim,5,Red,200.0,,5.6 L/100 km,,1.6 L,4.48 m,1.66 m,1.85 m,,,,,,Ireland,No,"Franchise Dealer
4.8/5",Co. Limerick,Tucson,35950.0,,,Co. Limerick,,230 hp,193 km/h,1.5 kWh,8.0 sec,,Hyundai Tucson,0.1600852272727273,2,2
-,118000.0,3.0 L Diesel,Jun 2026,2020.0,Automatic,1,BMW,Diesel,Estate,5,Base Trim,7,Black,790.0,6.6 L/100 km,7.0 L/100 km,7.8 L/100 km,3.0 L,5.15 m,1.81 m,2.00 m,,,,,,Ireland,UK,Independent Dealer,Co. Limerick,X7,99950.0,750 L,22 cm,Co. Limerick,80 L,,,,,,BMW X7,-0.1727651515151514,1,1
R-Line,199236.292,2.0 L Diesel,Sep 2025,2017.0,Automatic,2,Volkswagen,Diesel,Hatchback,5,Luxury Trim,5,Blue,200.0,3.8 L/100 km,4.3 L/100 km,5.2 L/100 km,2.0 L,4.95 m,1.45 m,1.87 m,,,,,,Ireland,No,Independent Dealer,Co. Wexford,Arteon,21995.0,"1,557 L",14 cm,,66 L,,,,,,Volkswagen Arteon,0.1684573002754821,2,3
---,51318.63392,1.0 L Petrol,---,2022.0,Manual,1,Renault,Petrol,---,5,---,5,Grey,210.0,,,,,,,,,,,,,Northern Ireland,,Franchise Dealer,"Enniskillen, Co. Fermanagh",Captur,15789.15,,,,,,,,,,Renault Captur,-0.4083333333333332,1,1
Smart Plus,63171.0,0.9880000000000001 L Petrol,Aug 2026,2020.0,Manual,4,Honda,Petrol,Saloon,4,Base Trim,5,Black,190.0,4.1 L/100 km,4.8 L/100 km,6.0 L/100 km,0.9880000000000001 L,4.65 m,1.42 m,1.80 m,5/5,75%,88%,92%,75%,Ireland,No,"Verified Private Seller
No rating yet","PortLaoise, Co. Laois",Civic,18000.0,,,,,,,,,,Honda Civic,0.0904526942355889,1,2
-,72869.30586,1.6 L Hybrid,Aug 2025,2021.0,Automatic,2,Kia,Hybrid,Hatchback,5,Medium Trim,5,Grey,,,,,1.6 L,4.40 m,1.48 m,1.83 m,,,,,,Ireland,No,Franchise Dealer,"Letterkenny, Co. Donegal",XCeed,21950.0,"1,378 L",18 cm,Co. Donegal,37 L,141 hp,188 km/h,8.9 kWh,11.0 sec,,Kia XCeed,0.023634817563389,2,2
SV Premium,85000.0,1.0 L Petrol,Jan 2026,2020.0,Manual,1,Nissan,Petrol,SUV,4,Medium Trim,5,Black,200.0,,6.0 L/100 km,,1.0 L,4.21 m,1.60 m,1.80 m,5/5,85%,73%,94%,81%,Ireland,No,Franchise Dealer,Co. Limerick,Juke,19950.0,"1,088 L",,,,,,,,,Nissan Juke,0.0907860614228538,1,1
SV,197375.0,1.6 L Diesel,Feb 2026,2014.0,Manual,3,Nissan,Diesel,Hatchback,4,Medium Trim,7,Black,280.0,5.0 L/100 km,5.9 L/100 km,7.5 L/100 km,1.6 L,4.33 m,1.62 m,1.78 m,,,,,,Ireland,No,"Private Seller
No rating yet","Sligo, Co. Sligo",Qashqai,8500.0,"1,513 L",,,65 L,,,,,,Nissan Qashqai,0.019047619047619,1,2
---,84390.0,3.2 L Diesel,---,2017.0,Manual,2,Ford,Diesel,MPV,---,---,5,Black,,,,,,,,,,,,,,Ireland,UK,"Franchise Dealer
4.0/5",Co. Limerick,Ranger,20285.0,,,Co. Limerick,,,,,,,Ford Ranger,-0.0922077922077922,1,2
SE,101965.0,3.0 L Diesel,Jan 2026,2018.0,Automatic,3,Audi,Diesel,SUV,4,Base Trim,7,White,400.0,,5.6 L/100 km,,3.0 L,5.05 m,1.74 m,1.97 m,5/5,88%,76%,94%,70%,Ireland,No,"Private Seller
5.0/5 (1)","Galway City, Co. Galway",Q7,43995.0,"2,075 L",,,75 L,,,,,,Audi Q7,-0.152020202020202,1,1
Allure,0.0,1.5 L Diesel,---,2025.0,Manual,0,Peugeot,Diesel,MPV,5,Base Trim,4,Blue,0.0,,5.5 L/100 km,,1.5 L,4.75 m,1.82 m,1.85 m,,,,,,Ireland,Unknown,Independent Dealer,Co. Westmeath,Rifter,37995.0,,,Co. Westmeath,,,,,,,Peugeot Rifter,0.0,1,4
---,127137.86,1.4 L Diesel,---,2015.0,Manual,5,Skoda,Diesel,Hatchback,5,---,5,White,180.0,,,,,,,,,,,,,UK,,"Verified Private Seller
No rating yet","Enniskillen, Co. Fermanagh",Fabia,5265.0,,,,,,,,,,Skoda Fabia,0.0,1,5
Titanium,35265.0,1.0 L Petrol,Feb 2027,2021.0,Automatic,1,Ford,Petrol,MPV,4,Base Trim,5,Grey,210.0,,6.1 L/100 km,,1.0 L,4.19 m,,1.81 m,5/5,84%,74%,94%,77%,Ireland,No,"Franchise Dealer
4.0/5",Co. Limerick,Puma,23950.0,,,Co. Limerick,,,,,,,Ford Puma,0.0650694133452754,1,2
TAKE UP,104000.0,1.0 L Petrol,---,2013.0,Manual,1,Volkswagen,Petrol,Hatchback,3,Base Trim,4,Black,190.0,4.0 L/100 km,4.7 L/100 km,5.9 L/100 km,1.0 L,3.54 m,1.49 m,1.64 m,,,,,,Ireland,Unknown country,Independent Dealer,Co. Dublin,up!,7890.0,951 L,14 cm,Co. Dublin,35 L,,,,,,Volkswagen up!,0.2115384615384615,1,3
MOVE UP,53108.22,1.0 L Petrol,Mar 2025,2013.0,Automatic,0,Volkswagen,Petrol,Hatchback,3,Medium Trim,4,Other,190.0,3.7 L/100 km,4.2 L/100 km,5.1 L/100 km,1.0 L,3.54 m,1.49 m,1.64 m,,,,,,Ireland,Unknown,Independent Dealer,Co. Dublin,up!,6950.0,951 L,14 cm,,35 L,,,,,,Volkswagen up!,0.2115384615384615,1,3
Xperience,78000.0,1.0 L Petrol,Apr 2027,2023.0,Manual,2,SEAT,Petrol,SUV,5,Medium Trim,5,Black,200.0,,5.3 L/100 km,,1.0 L,4.15 m,,1.78 m,5/5,83%,70%,83%,65%,Ireland,No,Franchise Dealer,"Castleisland, Co. Kerry",Arona,21950.0,400 L,,,,,,,,,SEAT Arona,0.0834325396825396,1,3
N,229110.0,1.4 L Petrol,Apr 2025,2007.0,Manual,9,Volkswagen,,,,,,,385.0,,,,,,,,,,,,,Ireland,No,"Private Seller
No rating yet","Naas, Co. Kildare",Golf,1700.0,,,,,,,,,,Volkswagen Golf,0.0,1,5
N,129873.738,1.2 L Diesel,---,2010.0,Manual,4,SEAT,,,,,,,180.0,,,,,,,,,,,,,UK,,"Verified Private Seller
5.0/5 (1)",Co. Tipperary,Ibiza,2850.0,,,,,,,,,,SEAT Ibiza,0.3298941798941799,1,3
K3,40285.0,1.0 L Petrol,Jan 2027,2021.0,Manual,1,Kia,Petrol,Hatchback,5,Medium Trim,5,Grey,270.0,,6.4 L/100 km,,1.0 L,4.40 m,1.48 m,1.83 m,,,,,,Ireland,No,"Franchise Dealer
4.4/5",Co. Cork,XCeed,23850.0,"1,378 L",18 cm,Co. Cork,50 L,,,,,,Kia XCeed,0.023634817563389,2,2
---,108999.0,2.0 L Petrol,Feb 2026,2014.0,Automatic,---,Volkswagen,Petrol,Hatchback,4,---,---,Silver,,,,,,,,,,,,,,Ireland,No,Independent Dealer,"Lusk, Co. Dublin",Golf,17950.0,,,Co. Dublin,,,,,,,Volkswagen Golf,0.0,1,5
N,84000.0,1.2 L Petrol,Jan 2026,2007.0,Manual,4,Nissan,,,,,,,358.0,,,,,,,,,,,,,Ireland,No,"Private Seller
No rating yet","Adamstown, Co. Dublin",Micra,2100.0,,,,,,,,,,Nissan Micra,0.1895833333333333,2,3
120 YEAR EDITION,68351.0,1.6 L Diesel,Mar 2025,2019.0,Manual,2,Opel,Diesel,Hatchback,5,Medium Trim,5,Grey,190.0,3.5 L/100 km,4.1 L/100 km,5.1 L/100 km,1.6 L,4.37 m,1.49 m,1.81 m,5/5,84%,75%,86%,83%,Ireland,No,"Franchise Dealer
4.8/5",Co. Waterford,Astra,15995.0,"1,210 L",,Co. Waterford,,,,,,,Opel Astra,0.2083333333333333,1,4
Comfort Plus,98893.0,1.6 L Diesel,Jan 2025,2019.0,Manual,1,Hyundai,Diesel,SUV,5,Medium Trim,5,Blue,270.0,4.9 L/100 km,5.5 L/100 km,5.8 L/100 km,1.6 L,4.48 m,1.66 m,1.85 m,5/5,85%,71%,86%,71%,Ireland,No,"Franchise Dealer
4.8/5",Co. Wexford,Tucson,21950.0,"1,503 L",17 cm,Co. Wexford,55 L,,,,,,Hyundai Tucson,0.1600852272727273,2,2
SVE,110000.0,270 km (WLTP) Electric,Jan 2026,2020.0,Automatic,1,Nissan,Electric,Hatchback,4,Luxury Trim,5,Grey,120.0,,,,,4.49 m,1.54 m,1.79 m,,,,,,Ireland,No,"Independent Dealer
4.5/5","Clondalkin, Co. Dublin",Leaf,13950.0,,,Co. Dublin,,150 hp,144 km/h,,7.9 sec,,Nissan Leaf,0.2897603754940712,1,1
Sol,125000.0,2.5 L Petrol Hybrid,Aug 2025,2021.0,Automatic,1,Toyota,Petrol Hybrid,Saloon,4,Medium Trim,5,Black,190.0,,5.3 L/100 km,,2.5 L,4.89 m,,1.84 m,,,,,,Ireland,No,"Independent Dealer
4.5/5","Clondalkin, Co. Dublin",Camry,26950.0,,,Co. Dublin,,218 hp,180 km/h,1.6 kWh,8.3 sec,,Toyota Camry,0.1972727272727272,1,2
Business,161000.0,2.0 L Diesel,Oct 2025,2021.0,Manual,1,Volkswagen,Diesel,Saloon,4,Medium Trim,5,Grey,200.0,,4.7 L/100 km,,2.0 L,4.78 m,,1.83 m,,,,,,Ireland,No,"Independent Dealer
4.5/5","Clondalkin, Co. Dublin",Passat,19900.0,,,Co. Dublin,,,,,,,Volkswagen Passat,0.1682420357420357,1,1
SC,153000.0,1.7 L Diesel,Jul 2025,2015.0,Manual,3,Opel,Diesel,Hatchback,4,Medium Trim,5,Blue,200.0,4.1 L/100 km,4.7 L/100 km,5.8 L/100 km,1.7 L,4.28 m,1.65 m,1.78 m,,,,,,Ireland,No,"Independent Dealer
4.5/5","Clondalkin, Co. Dublin",Mokka,7950.0,,,Co. Dublin,,,,,,,Opel Mokka,0.095,1,1
---,77650.655,3.0 L Petrol,Jan 2026,2018.0,Automatic,3,BMW,Petrol,Saloon,4,---,5,Black,1250.0,,,,,,,,,,,,,Ireland,UK,"Independent Dealer
4.8/5","Naas, Co. Kildare",M3,64950.0,,,Co. Kildare,,,,,,,BMW M3,0.0,1,1
-,81930.0,3.0 L Diesel,Sep 2026,2018.0,Automatic,1,BMW,Diesel,SUV,5,Sports Trim,5,Black,1250.0,7.3 L/100 km,7.8 L/100 km,8.7 L/100 km,3.0 L,4.89 m,1.76 m,1.94 m,,,,,,Ireland,UK,Independent Dealer,Co. Dublin,X5,52000.0,"1,870 L",21 cm,,85 L,,,,,,BMW X5,0.1627846790890269,1,4
---,87155.41704,2.0 L Diesel,---,2019.0,Automatic,---,Land Rover,Diesel,---,5,---,5,White,600.0,,,,,,,,,,,,,UK,,Franchise Dealer,Co. Down,Range Rover Evoque,28074.15,,,,,,,,,,Land Rover Range Rover Evoque,-0.75,1,2
SV Premium,50000.0,270 km (WLTP) Electric,Mar 2026,2022.0,Automatic,1,Nissan,Electric,Hatchback,4,Medium Trim,5,Blue,120.0,,0.0 L/100 km,,,4.49 m,1.54 m,1.79 m,,,,,,Ireland,No,"Independent Dealer
4.5/5","Clondalkin, Co. Dublin",Leaf,15950.0,,,Co. Dublin,,150 hp,144 km/h,,7.9 sec,,Nissan Leaf,0.2897603754940712,1,1
SV Premium,88000.0,270 km (WLTP) Electric,Mar 2025,2021.0,Automatic,1,Nissan,Electric,Hatchback,4,Medium Trim,5,Black,120.0,,0.0 L/100 km,,,4.49 m,1.54 m,1.79 m,,,,,,Ireland,No,"Independent Dealer
4.5/5","Clondalkin, Co. Dublin",Leaf,13950.0,,,Co. Dublin,,150 hp,144 km/h,,7.9 sec,,Nissan Leaf,0.2897603754940712,1,1
SE,76000.0,1.0 L Petrol,Jan 2026,2020.0,Manual,1,SEAT,Petrol,Hatchback,5,Medium Trim,5,Black,190.0,4.1 L/100 km,4.6 L/100 km,5.4 L/100 km,1.0 L,4.06 m,1.44 m,1.78 m,,,,,,Ireland,No,"Independent Dealer
4.5/5","Clondalkin, Co. Dublin",Ibiza,14950.0,,,Co. Dublin,,,,,,,SEAT Ibiza,0.3298941798941799,1,3
Allure,42000.0,1.6 L Petrol Plug-in Hybrid,May 2026,2022.0,Automatic,2,Peugeot,Petrol Plug-in Hybrid,Hatchback,4,Medium Trim,5,Green,140.0,,6.4 L/100 km,,1.6 L,4.37 m,,1.85 m,,,,,,Ireland,No,"Independent Dealer
4.5/5","Clondalkin, Co. Dublin",308,28950.0,,,Co. Dublin,,,,12.4 kWh,,,Peugeot 308,0.3614795918367347,2,5
LIMITED EDITION,201000.0,1.5 L Diesel,Nov 2025,2015.0,Manual,4,Renault,Diesel,MPV,4,Medium Trim,7,Blue,190.0,3.9 L/100 km,4.1 L/100 km,4.5 L/100 km,1.5 L,4.57 m,1.65 m,1.85 m,,,,,,Ireland,No,"Independent Dealer
4.5/5","Clondalkin, Co. Dublin",Grand Scenic,6950.0,,,Co. Dublin,,,,,,,Renault Grand Scenic,-0.0194444444444444,1,2
---,128747.2,1.6 L Diesel,Feb 2027,2019.0,Automatic,1,Audi,Diesel,Hatchback,5,---,5,Blue,190.0,,,,,,,,,,,,,UK,,"Independent Dealer
4.5/5","Clondalkin, Co. Dublin",A3,20950.0,,,Co. Dublin,,,,,,,Audi A3,0.2924242424242424,1,3
Pop,36000.0,1.0 L Petrol,Oct 2026,2020.0,Manual,1,Fiat,Petrol,Hatchback,3,Base Trim,4,White,180.0,3.4 L/100 km,3.9 L/100 km,4.7 L/100 km,1.0 L,3.57 m,1.49 m,1.63 m,,,,,,Ireland,No,"Independent Dealer
4.5/5","Clondalkin, Co. Dublin",500,13950.0,,,Co. Dublin,,,,,,,Fiat 500,0.0729107142857143,1,2
GTE,128747.2,1.4 L Petrol Plug-in Hybrid,Jul 2026,2020.0,Automatic,1,Volkswagen,Petrol Plug-in Hybrid,Hatchback,5,Sports Trim,5,Blue,170.0,,,,1.4 L,4.28 m,1.48 m,1.80 m,5/5,,,,,UK,,"Independent Dealer
4.5/5","Clondalkin, Co. Dublin",Golf,21900.0,"1,162 L",14 cm,Co. Dublin,40 L,,,,,,Volkswagen Golf,0.0,1,5
---,62764.26,Electric,Mar 2027,2021.0,Automatic,1,Nissan,Electric,Hatchback,5,---,5,Black,120.0,,,,,,,,,,,,,UK,,"Independent Dealer
4.5/5","Clondalkin, Co. Dublin",Leaf,19950.0,,,Co. Dublin,,,,,,,Nissan Leaf,0.2897603754940712,1,1
all,136793.9,2.4 L Petrol Plug-in Hybrid,Feb 2026,2020.0,Automatic,2,Mitsubishi,Petrol Plug-in Hybrid,SUV,5,Base Trim,5,Black,170.0,,,,2.4 L,4.70 m,1.71 m,1.80 m,,,,,,Ireland,UK,"Independent Dealer
4.5/5","Clondalkin, Co. Dublin",Outlander,23950.0,"1,602 L",18 cm,Co. Dublin,45 L,,,13.8 kWh,,,Mitsubishi Outlander,0.0714718614718614,1,1
Ambition,99000.0,2.0 L Diesel,Oct 2026,2020.0,Automatic,1,Skoda,Diesel,SUV,4,Medium Trim,7,Black,270.0,4.7 L/100 km,5.0 L/100 km,5.5 L/100 km,2.0 L,4.70 m,1.68 m,1.88 m,,,,,,Ireland,No,"Independent Dealer
4.5/5","Clondalkin, Co. Dublin",Kodiaq,33950.0,,,Co. Dublin,,,,,,,Skoda Kodiaq,0.0285853096179183,1,2
---,45212.797959999996,2.0 L Diesel,---,2023.0,Manual,---,Volkswagen,Diesel,---,---,---,5,Grey,,,,,,,,,,,,,,UK,,Independent Dealer,"Newry, Co. Down",Tiguan,28074.15,,,,,,,,,,Volkswagen Tiguan,0.1372402597402597,1,2
SE+,22500.0,1.0 L Petrol,Mar 2028,2024.0,Manual,1,SEAT,Petrol,Hatchback,5,Medium Trim,5,Black,190.0,,5.3 L/100 km,,1.0 L,4.06 m,,1.78 m,5/5,82%,70%,83%,66%,Ireland,No,"Independent Dealer
4.9/5",Co. Dublin,Ibiza,22950.0,"1,165 L",,Co. Dublin,40 L,,,,,,SEAT Ibiza,0.3298941798941799,1,3
SportLine,96712.0,2.0 L Diesel,Jul 2026,2022.0,Automatic,1,Skoda,Diesel,SUV,5,Sports Trim,7,Silver,270.0,,5.4 L/100 km,,2.0 L,4.70 m,1.69 m,1.88 m,5/5,77%,54%,92%,71%,Ireland,No,"Franchise Dealer
4.3/5",Co. Limerick,Kodiaq,47900.0,"2,065 L",,Co. Limerick,,,,,,,Skoda Kodiaq,0.0285853096179183,1,2
N,281634.5,2.0 L Petrol,Mar 2026,2008.0,Manual,15,Volkswagen,,,,,,,,,,,,,,,,,,,,Ireland,No,"Private Seller
No rating yet","Firhouse, Co. Dublin",Golf,5750.0,,,,,,,,,,Volkswagen Golf,0.0,1,5
K3,104698.0,1.6 L Diesel,Jun 2026,2020.0,Manual,2,Kia,Diesel,SUV,5,Medium Trim,5,Grey,190.0,4.5 L/100 km,4.8 L/100 km,5.2 L/100 km,1.6 L,4.49 m,1.64 m,1.86 m,5/5,83%,71%,90%,66%,Ireland,No,"Franchise Dealer
4.4/5",Co. Cork,Sportage,24900.0,"1,492 L",17 cm,Co. Cork,58 L,,,,,,Kia Sportage,0.1666666666666666,1,4
Highline,186466.0,2.0 L Diesel,Feb 2026,2015.0,Manual,2,Volkswagen,Diesel,Saloon,4,Luxury Trim,5,Red,,,,,2.0 L,4.77 m,1.46 m,1.83 m,,,,,,Ireland,No,Independent Dealer,"Dublin 22, Co. Dublin",Passat,12995.0,,15 cm,Co. Dublin,,,,,,,Volkswagen Passat,0.1682420357420357,1,1
Titanium,33799.0,2.5 L Petrol Hybrid,Jan 2025,2021.0,Automatic,2,Ford,Petrol Hybrid,SUV,4,Base Trim,5,Black,200.0,,5.5 L/100 km,,2.5 L,4.61 m,,1.88 m,,,,,,Ireland,No,Independent Dealer,Co. Dublin,Kuga,29850.0,,,Co. Dublin,,190 hp,196 km/h,1.1 kWh,9.1 sec,,Ford Kuga,0.2831313131313131,2,3
ALLURE,305435.0,2.0 L Diesel,May 2026,2012.0,Manual,2,Peugeot,Diesel,Saloon,4,Medium Trim,5,Silver,,,,,2.0 L,4.79 m,1.46 m,1.85 m,,,,,,Ireland,UK,Independent Dealer,"Dublin 22, Co. Dublin",508,4495.0,,,Co. Dublin,,,,,,,Peugeot 508,0.160959595959596,1,3
Deluxe,228843.0,1.6 L Diesel,May 2026,2017.0,Manual,2,Hyundai,Diesel,Hatchback,5,Medium Trim,5,Black,,,,,1.6 L,4.34 m,1.46 m,1.80 m,5/5,84%,68%,88%,64%,Ireland,No,Independent Dealer,"Dublin 22, Co. Dublin",i30,9995.0,"1,301 L",14 cm,Co. Dublin,50 L,,,,,,Hyundai i30,0.1575883838383838,1,2
SIGNATURE X NAV,187348.0,1.5 L Diesel,Jul 2025,2017.0,Manual,3,Renault,Diesel,Hatchback,5,Medium Trim,5,Grey,,,,,1.5 L,4.12 m,1.57 m,1.78 m,5/5,79%,81%,88%,61%,Ireland,No,Independent Dealer,"Dublin 22, Co. Dublin",Captur,9945.0,"1,235 L",17 cm,Co. Dublin,45 L,,,,,,Renault Captur,-0.4083333333333332,1,1
Elegance,209985.0,1.6 L Diesel,Feb 2026,2012.0,Manual,3,Skoda,Diesel,Hatchback,5,Luxury Trim,5,Green,,,,,1.6 L,4.57 m,1.46 m,1.77 m,,,,,,Ireland,No,Independent Dealer,"Dublin 22, Co. Dublin",Octavia,5995.0,,,Co. Dublin,,,,,,,Skoda Octavia,0.1167956349206348,1,2
Elite,11000.0,336 km (WLTP) Electric,Jan 2027,2021.0,Automatic,1,Opel,Electric,Hatchback,4,Luxury Trim,5,Grey,120.0,,,,,4.06 m,,1.77 m,4/5,86%,69%,84%,66%,Ireland,No,"Franchise Dealer
4.6/5","Sandyford, Co. Dublin",Corsa,14900.0,"1,118 L",,Co. Dublin,,136 hp,150 km/h,,7.6 sec,,Opel Corsa,-0.75,1,3
---,367196.67044,2.0 L Diesel,---,2011.0,Manual,2,Opel,Diesel,Saloon,5,---,5,Silver,270.0,,,,,,,,,,,,,Ireland,Unknown,"Trader
4.1/5 (15)","PortLaoise, Co. Laois",Insignia,1750.0,,,,,,,,,,Opel Insignia,0.4604166666666667,1,5
SE,267000.0,2.0 L Diesel,Mar 2027,2015.0,Manual,9,Volvo,Diesel,Saloon,4,Medium Trim,5,Black,180.0,3.6 L/100 km,3.8 L/100 km,4.3 L/100 km,2.0 L,4.64 m,1.48 m,1.87 m,,,,,,Ireland,No,"Private Seller
5.0/5 (4)","Ardee, Co. Louth",S60,6700.0,,,,,,,,,,Volvo S60,1.0,2,5
---,14746.38242,1.5 L Petrol,---,2024.0,Automatic,1,Volkswagen,Petrol,---,5,---,5,Red,270.0,,,,,,,,,,,,,Northern Ireland,,Franchise Dealer,"Enniskillen, Co. Fermanagh",Tiguan,44448.3,,,,,,,,,,Volkswagen Tiguan,0.1372402597402597,1,2
Active,138624.0,1.4 L Diesel,Jun 2026,2015.0,Manual,3,Peugeot,Diesel,Hatchback,5,Medium Trim,5,Grey,,,,,1.4 L,4.16 m,1.56 m,1.74 m,,,,,,Ireland,No,Independent Dealer,"Dublin 22, Co. Dublin",2008,8995.0,"1,194 L",17 cm,Co. Dublin,50 L,,,,,,Peugeot 2008,0.211038961038961,2,3
DYNAMIQUE NAV,137999.0,1.5 L Diesel,Jul 2025,2017.0,Manual,2,Renault,Diesel,Hatchback,5,Medium Trim,7,Blue,,,,,1.5 L,4.63 m,1.66 m,1.87 m,,,,,,Ireland,No,Independent Dealer,"Dublin 22, Co. Dublin",Grand Scenic,14995.0,718 L,16 cm,Co. Dublin,53 L,,,,,,Renault Grand Scenic,-0.0194444444444444,1,2
ECO,197152.1967,1.8 L Petrol Hybrid,Mar 2026,2013.0,Automatic,2,Lexus,Petrol Hybrid,Hatchback,5,Base Trim,5,Silver,,,,,1.8 L,4.32 m,1.43 m,1.77 m,,,,,,Ireland,UK,Independent Dealer,"Dublin 22, Co. Dublin",CT,9995.0,985 L,13 cm,Co. Dublin,45 L,,,,,,Lexus CT,0.202111111111111,2,4
Comfortline,315236.0,1.6 L Diesel,Oct 2025,2015.0,Manual,2,Volkswagen,Diesel,Saloon,4,Medium Trim,5,Silver,,,,,1.6 L,4.77 m,1.46 m,1.83 m,5/5,87%,76%,85%,66%,Ireland,N. Ireland,Independent Dealer,"Dublin 22, Co. Dublin",Passat,7995.0,586 L,15 cm,Co. Dublin,,,,,,,Volkswagen Passat,0.1682420357420357,1,1
---,134708.0,1.5 L Diesel,Mar 2026,2016.0,Manual,3,Mini,Diesel,Hatchback,5,---,5,Grey,,,,,,,,,,,,,,Ireland,No,Independent Dealer,"Dublin 22, Co. Dublin",One,9995.0,,,Co. Dublin,,,,,,,Mini One,0.0619047619047619,1,5
VTR+,110344.0,1.6 L Diesel,Jul 2025,2015.0,Manual,3,Citroen,Diesel,Hatchback,5,Medium Trim,5,Beige,,,,,1.6 L,4.33 m,1.50 m,1.79 m,5/5,85%,97%,90%,43%,Ireland,No,Independent Dealer,"Dublin 22, Co. Dublin",C4,6995.0,"1,183 L",,Co. Dublin,,,,,,,Citroen C4,0.2787499999999999,1,3
Comfortline,155256.0,1.6 L Diesel,Apr 2026,2014.0,Manual,2,Volkswagen,Diesel,Hatchback,5,Medium Trim,5,Black,,,,,1.6 L,4.34 m,1.58 m,1.81 m,5/5,85%,73%,87%,62%,Ireland,No,Independent Dealer,"Dublin 22, Co. Dublin",Golf,7995.0,"1,520 L",14 cm,Co. Dublin,50 L,,,,,,Volkswagen Golf,0.0,1,5
Intense,179000.0,1.6 L Petrol,Jan 2026,2015.0,Manual,3,Mitsubishi,Petrol,Saloon,4,Base Trim,5,Red,280.0,4.7 L/100 km,5.7 L/100 km,7.4 L/100 km,1.6 L,4.57 m,1.48 m,1.76 m,5/5,80%,71%,81%,34%,Ireland,No,"Verified Private Seller
No rating yet","Dublin 11, Co. Dublin",Lancer,6500.0,,,,,,,,,,Mitsubishi Lancer,0.1666666666666666,2,5
PLATINUM,194999.0,2.2 L Diesel,May 2026,2016.0,Manual,4,Mazda,Diesel,SUV,4,Luxury Trim,5,Red,,,,,2.2 L,4.56 m,1.71 m,1.84 m,5/5,87%,86%,94%,64%,Ireland,No,Independent Dealer,"Dublin 22, Co. Dublin",CX-5,12995.0,"1,620 L",21 cm,Co. Dublin,56 L,,,,,,Mazda CX-5,0.1147433816183816,1,1
-,33915.23116,1.6 L Petrol Plug-in Hybrid,Jul 2025,2021.0,Automatic,2,Kia,Petrol Plug-in Hybrid,Hatchback,5,Medium Trim,5,Grey,140.0,,1.7 L/100 km,,1.6 L,4.40 m,1.48 m,1.83 m,,,,,,Ireland,No,"Independent Dealer
4.7/5",Co. Donegal,XCeed,23900.0,"1,378 L",18 cm,Co. Donegal,37 L,,,8.9 kWh,,,Kia XCeed,0.023634817563389,2,2
Executive,53687.0,1.6 L Petrol Plug-in Hybrid,Jan 2026,2022.0,Automatic,1,Hyundai,Petrol Plug-in Hybrid,SUV,5,Medium Trim,5,Grey,140.0,,1.4 L/100 km,,1.6 L,4.48 m,1.66 m,1.85 m,,,,,,Ireland,No,Franchise Dealer,Co. Meath,Tucson,35950.0,"1,503 L",17 cm,Co. Meath,42 L,,,13.8 kWh,,,Hyundai Tucson,0.1600852272727273,2,2
